Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Project,Projet,Total,Expense Type,Reduces Greenhouse Gases?,Réduction des émissions de gaz à effet de serre?,Reduces Greenhouse Gases? - Count,Builds climate resiliency?,Renforcer la résilience climatique?,Builds climate resiliency? - Count,Rate Supported,Category of Capital Program,Catégorie de programme d'immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Fire Services,Service des incendies d’Ottawa,911194 Fire Equipment Replacement Prog.-24-26,911194 Programme de remplacement de l’équipement de lutte contre les incendies 24-26, 350 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Fire Services,Service des incendies d’Ottawa,911200 Fire Safety Equipment Replacement-24-26,911200 Remplacement de l’équipement de sécurité-incendie 24-26, 400 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Fire Services,Service des incendies d’Ottawa,911201 Fire Facility Equip Replacement-24-26,911201 Remplacement de l’équipement des casernes de pompiers 24-26, 300 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Fire Services,Service des incendies d’Ottawa,911533 CBRN Grant-2025,911533 Subvention pour les interventions CBRN 2025, 150 ,Capital, No  ,Non,0, No ,Non,0,,Service Enhancements,Amélioration du service
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Fire Services,Service des incendies d’Ottawa,911534 USAR Grant-2025,911534 Recherche et sauvetage en milieu urbain (RSMU)-2025, 400 ,Capital, No  ,Non,0, No ,Non,0,,Service Enhancements,Amélioration du service
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Paramedic Services,Service paramédic d'Ottawa,909505 Paramedic Power Stretcher Replacement,909505 Remplacement de la civière électrique paramédicale," 3,175 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Paramedic Services,Service paramédic d'Ottawa,911187 Paramedic Vehicles & Equipment (2024),911187 Véhicules et d'équipements paramédicaux (2024), 600 ,Capital, Yes - Moderate Contribution ,Oui - Contribution modérée,1, No  ,Non,0,,Growth,Croissance
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Paramedic Services,Service paramédic d'Ottawa,911189 Paramedic Equipment Replacement 24-26,911189 Remplacement de l’équipement des paramédics 24-26, 300 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Paramedic Services,Service paramédic d'Ottawa,911190 Paramed Facilities Equip Replace 24-26,911190 Remplacement de l’équipement des installations et des postes du Service paramédic 24-26, 115 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Paramedic Services,Service paramédic d'Ottawa,911191 Paramedic Technology & Equip 24-26,911191 Technologie et équipement des paramédics 24-26, 145 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Paramedic Services,Service paramédic d'Ottawa,"911540 Paramedic Posts Future Land Cost (W,E,S)","911540 Coût projeté des terrains des postes du Service paramédic (O, E, S)", 500 ,Capital, No  ,Non,0, No ,Non,0,,Growth,Croissance
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Public Safety Service,Service de sécurité publique,909832 Emergency Operations Centre Upgrade,909832 Mise à niveau du centre d'opérations d'urgence, 50 ,Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Public Safety Service,Service de sécurité publique,911206 IMCMS Equipment (24-26),911206 Équipement lié au système radio IMCMS (24-26), 155 ,Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Public Safety Service,Service de sécurité publique,911207 Security Operations Eqpt Replace (24-26),911207 Remplacement du matériel adapté aux opérations de sécurité (24-26), 400 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Public Safety Service,Service de sécurité publique,911208 Emergency Operations Eqpt Replace 24-26,911208 Remplacement du matériel adapté aux opérations d'urgence 24-26, 50 ,Capital, No  ,Non,0, Yes - Moderate Contribution ,Oui - Contribution modérée,1,,Renewal of City Assets,Renouvellement des immobilisations
Finance and Corporate Services Department, Direction générale des finances et des services organisationnels  ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,908076 Large Water Meters Changeout Program,908076 Programme de remplacement des grands compteurs d’eau," 1,900 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Finance and Corporate Services Department, Direction générale des finances et des services organisationnels  ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,908908 Small Water Meters Changeout Program,908908 Programme de remplacement des petits compteurs d’eau, 500 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Finance and Corporate Services Department, Direction générale des finances et des services organisationnels  ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,908909 Advanced Metering Infra. (AMI) Changeout,908909 Programme de remplacement de l’infrastructure de compteurs avancée (ICA) ," 1,650 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Finance and Corporate Services Department, Direction générale des finances et des services organisationnels  ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,908995 Advanced Metering Infra. (AMI) Software,908995 Mise à niveau des logiciels de l’infrastructure de compteurs avancée (ICA) , 900 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Finance and Corporate Services Department, Direction générale des finances et des services organisationnels  ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,908996 Meter Service Mobility,908996 Mobilité du service de compteurs, 50 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Finance and Corporate Services Department, Direction générale des finances et des services organisationnels  ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,909930 Water & Sewer Utility Billing System,909930 Système de facturation des services d’eau et d’égout, 450 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Finance and Corporate Services Department, Direction générale des finances et des services organisationnels  ,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Information Technology,Technologie de l’information,911376 Technology Infrastructure - 24-26,911376 Infrastructure Technologique des TI 24-26," 6,830 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Finance and Corporate Services Department, Direction générale des finances et des services organisationnels  ,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Information Technology,Technologie de l’information,911377 ITS Managed - 24-26,911377 ITS Géré - 24-26," 19,600 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Finance and Corporate Services Department, Direction générale des finances et des services organisationnels  ,Transportation Committee,Comité des transports,Fleet Services,Service du parc automobile,911530 Lifecycle Renewal Fleet - 2025,911530 Renouvellement de fin de cycle de vie  – Parc automobile - 2025," 28,416 ",Capital, Yes - Moderate Contribution ,Oui - Contribution modérée,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Finance and Corporate Services Department, Direction générale des finances et des services organisationnels  ,Transportation Committee,Comité des transports,Fleet Services,Service du parc automobile,"911531 Municipal Fleet UpFits, Facilities&Tools","911531 Transformations, installations et outillage du parc automobile municipal - 2025", 280 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Agriculture and Rural Affairs Committee,Comité de l’agriculture et des affaires rurales,Transportation Services,Services des transports,911288 24-26 Guide Rail Renewal,911288 Rénovation des glissières de sécurité 24-26," 3,750 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Agriculture and Rural Affairs Committee,Comité de l’agriculture et des affaires rurales,Transportation Services,Services des transports,911289 24-26 Rural Road Upgrades,911289 Amélioration des routes rurales 24-26," 2,750 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Community Services Committee,Comité des services communautaires,Child Care,Services de garde,911255 24-26 Buildings-Child Care Services,911255 Bâtiments 24-26 – Services de garde d'enfants, 700 ,Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Community Services Committee,Comité des services communautaires,Child Care,Services de garde,911265 24-26 Accessibility - Child Care Service,911265 Accessibilité 24-26 – Services de garde d'enfants, 50 ,Capital, No  ,Non,0, No  ,Non,0,,Service Enhancements,Amélioration du service
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Community Services Committee,Comité des services communautaires,Long Term Care,Soins de longue durée,911259 24-26 Buildings-Long Term Care,911259 Bâtiments 24-26 – Soins de longue durée," 5,525 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Community Services Committee,Comité des services communautaires,Long Term Care,Soins de longue durée,911268 24-26 Accessibility - Long Term Care,911268 Accessibilité 24-26 – Soins de longue durée, 50 ,Capital, No  ,Non,0, No  ,Non,0,,Service Enhancements,Amélioration du service
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Community Services Committee,Comité des services communautaires,"Parks, Buildings, & Grounds","Parcs, immeubles et terrains",911252 24-26 Buildings-Parks & Rec,911252 Bâtiments 24-26 – Parcs et loisirs," 36,668 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Community Services Committee,Comité des services communautaires,"Parks, Buildings, & Grounds","Parcs, immeubles et terrains",911256 24-26 Buildings-Cultural Services,911256 Bâtiments 24-26 – Services culturels," 1,700 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Community Services Committee,Comité des services communautaires,"Parks, Buildings, & Grounds","Parcs, immeubles et terrains",911264 24-26 Parks - Parks & Rec,911264 Parcs 24-26 – Parcs et loisirs," 6,700 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Community Services Committee,Comité des services communautaires,"Parks, Buildings, & Grounds","Parcs, immeubles et terrains",911266 24-26 Accessibility - Cultural Services,911266 Accessibilité 24-26 – Services culturels, 270 ,Capital, No  ,Non,0, No  ,Non,0,,Service Enhancements,Amélioration du service
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Community Services Committee,Comité des services communautaires,"Parks, Buildings, & Grounds","Parcs, immeubles et terrains",911345 24-26 Accessibility - Parks & Rec,911345 Accessibilité 24-26 – Parcs et loisirs," 1,300 ",Capital, No  ,Non,0, No  ,Non,0,,Service Enhancements,Amélioration du service
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Community Services Committee,Comité des services communautaires,Social Services,Services sociaux,911260 24-26 Buildings-Social Services,911260 Bâtiments 24-26 – Services sociaux, 500 ,Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Community Services Committee,Comité des services communautaires,Social Services,Services sociaux,911269 24-26 Accessibility - Social Services,911269 Accessibilité 24-26 – Services sociaux, 50 ,Capital, No  ,Non,0, No  ,Non,0,,Service Enhancements,Amélioration du service
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,By-law & Regulatory Services,Services des règlements municipaux,911199 24-26 Buildings-By-Law Services,911199 Bâtiments 24-26 – Services des règlements municipaux, 375 ,Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Fire Services,Service des incendies d’Ottawa,911257 24-26 Buildings-Fire Services,911257 Bâtiments 24-26 – Service des incendies," 3,550 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,900631 Carlington Heights Pumping Stn Expansion,900631 Agrandissement de la station de pompage de Carlington Heights," 15,504 ",Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,902206 Ottawa South Pumping Station Upgrade,902206 Modernisation de la station de pompage d’Ottawa-Sud," 14,280 ",Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,906664 Hurdman Bridge PS Renewal,906664 Réfection de la station de pompage du pont Hurdman," 1,290 ",Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,907100 Carp Well Capacity Increase,907100 Augmentation de la capacité du système de puits de Carp, 877 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,910327 Reliability Engineering Water Remotes,910327 ingénierie de fiabilité stations éloignées d'eau potable, 155 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,910328 Reliability Engineering Water Treatment,910328 ingénierie de fiabilité traitement de l'eau potable, 245 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,910396 Geoscience Studies,910396 Études géoscientifiques, 265 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,910527 Water Sys SCADA & Instrument Rehab 2022,910527 Remise en état des instruments et du système SCADA du service d’eau de 2022," 7,450 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,910529 New Vehicles Drinking Water 2022,910529 nouveaux véhicules services d’eau potable 2022," 1,500 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,910674 Lemieux MCC-3M and HLE1&2 Motor Replace,910674 Remplacement des moteurs MCC-3M et HLE1&2 au centre de traitement d'eau potable de l’île Lemieux," 2,565 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,910902 Rural Servicing Strategy,910902 Stratégie de viabilisation des terrains ruraux, 108 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,910903 Water & Wastewater Studies,910903 Études de l’eau potable et des eaux usées, 306 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,911303 24-26 Water System Improvements,911303 Améliorations du réseau d’alimentation en eau 24-26," 9,500 ",Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,911304 24-26 WM Transmission/Distribution Rehab,911304 Réfection des conduites d’eau principales/transport et distribution 24-26," 8,000 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,911312 24-26 Water Efficiency,911312 Valorisation de l’eau 24-26, 150 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,911313 24-26 Water Storage Tanks & Reservoirs,911313 Réservoirs et bassins d’entreposage de l’eau 24-26," 2,162 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,911314 24-26 DWS Capitalized Maintenance,911314 Entretien des immobilisations des Services de gestion de l'eau potable 24-26," 2,100 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,911316 24-26 Water Treatment Rehab,911316 Remise en état des installations de traitement de l’eau 24-26," 5,423 ",Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,911317 24-26 Water Pumping Station Rehab,911317 Réfection des stations de pompage d'eau 24-26," 1,725 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,911318 24-26 Lead Pipe Replacement Program,911318 Programme de remplacement des conduites en plomb 24-26," 1,250 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
