Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Description,Description (FR),Frais 2023,2023 Fee,Frais 2024,2024 Fee,Frais 2025,2025 Fee,Augmentation,Increase,Effective starting,Date d'entrée en vigueur ,ColSearch,ColSearch_FR
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Arena Slab - Adult,Location - Partie de l’aréna – adultes,,,58.66,58.66,60.39,60.39,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Arena Slab - Adult","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Partie de l’aréna – adultes"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Arena Slab - Commercial,Location - Partie de l’aréna – entreprises,,,68.18,68.18,70.19,70.19,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Arena Slab - Commercial","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Partie de l’aréna – entreprises"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Arena Slab - Minor,Location - Partie de l’aréna – adolescents,,,36.55,36.55,37.63,37.63,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Arena Slab - Minor","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Partie de l’aréna – adolescents"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Artificial Turf - Adult,Location - Terrain artificiel – adultes,,,138.84,138.84,142.94,142.94,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Artificial Turf - Adult","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Terrain artificiel – adultes"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Artificial Turf - Commercial,Location - Terrain artificiel – entreprises ,,,149.94,149.94,154.36,154.36,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Artificial Turf - Commercial","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Terrain artificiel – entreprises "
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Artificial Turf - Minor,Location - Terrain artificiel – adolescents,,,81.74,81.74,84.15,84.15,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Artificial Turf - Minor","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Terrain artificiel – adolescents"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Artificial Turf - Non-Prime Time,Location - Terrain artificiel – heures creuses,,,66.94,66.94,68.92,68.92,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Artificial Turf - Non-Prime Time","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Terrain artificiel – heures creuses"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Artificial Turf - Other,Location - Terrain artificiel – divers,,,58.09-81.74,58.09-81.74,59.80-84.15,59.80-84.15,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Artificial Turf - Other","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Terrain artificiel – divers"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Art Centres,Location - Centres d’art,,,6.36-588.76,6.36-588.76,6.55-606.13,6.55-606.13,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Art Centres","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Centres d’art"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Basketball Court (Outdoor),Location - Terrain de basketball (à l'extérieur),,,7.80-17.99,7.80-17.99,8.03-18.52,8.03-18.52,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Basketball Court (Outdoor)","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Terrain de basketball (à l'extérieur)"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Hall,Location - Pavillon,,,3.43-269.88,3.43-269.88,3.53-277.84,3.53-277.84,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Hall","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Pavillon"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Hall - Commercial,Location - Pavillon – entreprises,,,19.31-190.96,19.31-190.96,19.88-196.59,19.88-196.59,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Hall - Commercial","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Pavillon – entreprises"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Hall - NFP,Location - Pavillon – organismes sans but lucratif,,,3.74-85.81,3.74-85.81,3.85-88.34,3.85-88.34,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Hall - NFP","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Pavillon – organismes sans but lucratif"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Hall - Private,Location - Pavillon – particuliers,,,14.80-149.65,14.80-149.65,15.24-154.07,15.24-154.07,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Hall - Private","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Pavillon – particuliers"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Lansdowne,Location - Parc Lansdowne,,,"14.22-8,160.35","14.22-8,160.35","14.64-8,401.12","14.64-8,401.12",3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Lansdowne","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Parc Lansdowne"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Lansdowne Extra Fees,Location - Parc Lansdowne – frais supplémentaires,,,1.42-858.22,1.42-858.22,1.46-883.54,1.46-883.54,2.8% - 3.0%,2.8% - 3.0%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Lansdowne Extra Fees","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Parc Lansdowne – frais supplémentaires"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Museum,Location - Musée,,,36.29-315.34,36.29-315.34,37.36-324.64,37.36-324.64,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Museum","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Musée"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Nepean Sportsplex,Location - Sportsplex de Nepean,,,"6.91-4,066.48","6.91-4,066.48","7.11-4,186.46","7.11-4,186.46",3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Nepean Sportsplex","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Sportsplex de Nepean"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Nepean Sportsplex Extra Fees,Location - Sportsplex de Nepean – frais supplémentaires,,,"0.22-2,073.92","0.22-2,073.92","0.23-2,135.11","0.23-2,135.11",3.0% - 4.5%,3.0% - 4.5%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Nepean Sportsplex Extra Fees","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Sportsplex de Nepean – frais supplémentaires"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Outdoor Lighting Fee,Location - Frais d'éclairage extérieur,,,16.67-34.33,16.67-34.33,17.68-35.38,17.68-35.38,3.10%,3.10%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Outdoor Lighting Fee","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Frais d'éclairage extérieur"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Park,Location - Parc,,,28.29-462.33,28.29-462.33,29.12-475.97,29.12-475.97,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Park","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Parc"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Parking Lot,Location - Terrain de stationnement,,,"3.60-1,116.18","3.60-1,116.18","3.71-1,149.11","3.71-1,149.11",3.0% - 3.1%,3.0% - 3.1%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Parking Lot","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Terrain de stationnement"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Pool,Location - Piscine,,,"7.00-2,182.55","7.00-2,182.55","7.21-2,246.95","7.21-2,246.95",3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Pool","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Piscine"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Sport Fields/Ball Diamonds - Adult,Location - Terrains de sport et de balle – adultes,,,19.86-48.67,19.86-48.67,20.45-50.11,20.45-50.11,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Sport Fields/Ball Diamonds - Adult","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Terrains de sport et de balle – adultes"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Sport Fields/Ball Diamonds - Commercial,Location - Terrains de sport et de balle – entreprises,,,33.54-51.03,33.54-51.03,34.53-52.54,34.53-52.54,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Sport Fields/Ball Diamonds - Commercial","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Terrains de sport et de balle – entreprises"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Sport Fields/Ball Diamonds - Minor,Location - Terrains de sport et de balle – adolescents,,,6.27-9.44,6.27-9.44,6.45-9.72,6.45-9.72,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Sport Fields/Ball Diamonds - Minor","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Terrains de sport et de balle – adolescents"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Sport Fields/Ball Diamonds - Premium,Location - Terrains de sport et de balle – Prestige,,,40.30-127.21,40.30-127.21,41.49-130.96,41.49-130.96,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Sport Fields/Ball Diamonds - Premium","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Terrains de sport et de balle – Prestige"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Theater,Location - Théâtre,,,"8.39-9,273.12","8.39-9,273.12","8.64-9,546.72","8.64-9,546.72",3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Theater","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Théâtre"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Theater Extra Fees,Location - Théâtre – frais supplémentaires,,,"16.59-1,939.46","16.59-1,939.46","17.08-1,996.68","17.08-1,996.68",3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Theater Extra Fees","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Théâtre – frais supplémentaires"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Miscellaneous Extra Fees,Location - Divers – frais supplémentaires,,,0.13-273.60,0.13-273.60,0.13-281.67,0.13-281.67,0.0% - 2.9%,0.0% - 2.9%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Miscellaneous Extra Fees","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Divers – frais supplémentaires"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Point of Sale - Administrative Charge,Point de vente - Frais d’administration,,,5.14-105.24,5.14-105.24,5.29-108.35,5.29-108.35,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Point of Sale - Administrative Charge","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Point de vente - Frais d’administration"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Point of Sale - Event Admission,Point de vente - Frais d'entrée – événements,,,4.06-25.45,4.06-25.45,4.18-26.20,4.18-26.20,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Point of Sale - Event Admission","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Point de vente - Frais d'entrée – événements"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Point of Sale - Fitness Admission,Point de vente - Frais d'entrée – centre de conditionnement physique,,,4.28-12.96,4.28-12.96,4.41-13.34,4.41-13.34,2.9% - 3.0%,2.9% - 3.0%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Point of Sale - Fitness Admission","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Point de vente - Frais d'entrée – centre de conditionnement physique"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Point of Sale - General Admission,Point de vente - Frais d'entrée générale,,,0.90-22.20,0.90-22.20,0.93-22.86,0.93-22.86,3.0% - 3.3%,3.0% - 3.3%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Point of Sale - General Admission","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Point de vente - Frais d'entrée générale"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Point of Sale - Merchandise,Point de vente - Marchandises,,,0.04-425.00,0.04-425.00,0.04-425.00,0.04-425.00,0.00%,0.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Point of Sale - Merchandise","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Point de vente - Marchandises"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Point of Sale - Museum Admission,Point de vente - Frais d'entrée – musée,,,3.84-19.90,3.84-19.90,3.95-20.49,3.95-20.49,2.9% - 3.0%,2.9% - 3.0%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Point of Sale - Museum Admission","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Point de vente - Frais d'entrée – musée"
